seed,experiment,condition,x,BS,H_norm,F_norm,M_norm
7802,persistence,unrelated_delay,2000,-0.0007982254028320312,336.8326416015625,1.31093168258667,1.3081575632095337
7802,persistence,unrelated_delay,5000,-0.0004189610481262207,762.0221557617188,1.3124626874923706,1.3356425762176514
7802,revision,opposing,0,-0.008457034826278687,29.990732192993164,0.6939302682876587,1.0022305250167847
7802,revision,opposing,1,-0.007513552904129028,30.9266357421875,0.6883220076560974,1.0091030597686768
7802,revision,opposing,2,-0.00044533610343933105,31.884082794189453,0.6880170106887817,1.0153052806854248
7802,revision,opposing,4,-0.0005341768264770508,33.74752426147461,0.6851984262466431,1.0263957977294922
7802,revision,opposing,8,0.000758737325668335,37.49468231201172,0.6890683770179749,1.0458201169967651
7802,revision,opposing,16,0.00045609474182128906,45.080238342285156,0.6825995445251465,1.068784475326538
7802,revision,opposing,32,0.007660537958145142,60.513526916503906,0.6807045340538025,1.0925910472869873
7802,revision,opposing,64,0.0014258325099945068,90.90579223632812,0.6773775219917297,1.1117134094238281
7802,revision,opposing,128,-0.0027596652507781982,150.52420043945312,0.6644926071166992,1.12514328956604
7803,formation,p=0.55,0,0.0,0.28359654545783997,0.0,0.0
7803,formation,p=0.55,1,-0.0009263157844543457,1.1968265771865845,0.5325402021408081,0.12180649489164352
7803,formation,p=0.55,2,-0.006178736686706543,1.5389976501464844,0.6525448560714722,0.3602756857872009
7803,formation,p=0.55,4,-0.0016449391841888428,1.9914748668670654,0.737459659576416,0.5687782764434814
7803,formation,p=0.55,8,-0.005537927150726318,2.6424217224121094,0.6762278079986572,0.788381814956665
7803,formation,p=0.55,16,-0.005354583263397217,3.3268113136291504,0.5958685278892517,1.0468385219573975
7803,formation,p=0.55,32,-0.007997691631317139,3.8055450916290283,0.5652796626091003,1.2923920154571533
7803,formation,p=0.55,64,-0.0043599605560302734,4.249414920806885,0.48832300305366516,1.4446827173233032
7803,formation,p=0.60,0,0.0,0.28359654545783997,0.0,0.0
7803,formation,p=0.60,1,-0.007499337196350098,1.1950165033340454,0.5365632772445679,0.11243271082639694
7803,formation,p=0.60,2,-0.00407862663269043,1.5437977313995361,0.6494869589805603,0.35388338565826416
7803,formation,p=0.60,4,0.010222017765045166,2.0070149898529053,0.7256392240524292,0.5672160387039185
7803,formation,p=0.60,8,0.008084267377853394,2.626469612121582,0.6891675591468811,0.7857093214988708
7803,formation,p=0.60,16,-0.0003903806209564209,3.188661575317383,0.6237069964408875,1.0438321828842163
7803,formation,p=0.60,32,0.01343470811843872,3.8854007720947266,0.5070980191230774,1.3071988821029663
7803,formation,p=0.60,64,-0.005342066287994385,4.256901741027832,0.5176098346710205,1.4378821849822998
7803,formation,p=0.65,0,0.0,0.28359654545783997,0.0,0.0
7803,formation,p=0.65,1,-0.006078779697418213,1.1941765546798706,0.5302468538284302,0.12626218795776367
7803,formation,p=0.65,2,-0.017819523811340332,1.5422649383544922,0.6561265587806702,0.36274269223213196
7803,formation,p=0.65,4,0.0016697049140930176,2.0109152793884277,0.7223426103591919,0.57350754737854
7803,formation,p=0.65,8,-0.006666034460067749,2.628793239593506,0.6969089508056641,0.7928548455238342
7803,formation,p=0.65,16,0.009216874837875366,3.1847574710845947,0.6058405637741089,1.0548417568206787
7803,formation,p=0.65,32,0.013084590435028076,3.459134817123413,0.5283695459365845,1.301364541053772
7803,formation,p=0.65,64,0.022726088762283325,3.8543758392333984,0.5099003911018372,1.4327372312545776
7803,formation,p=0.70,0,0.0,0.28359654545783997,0.0,0.0
7803,formation,p=0.70,1,-0.0023513734340667725,1.1935415267944336,0.5325150489807129,0.12275990843772888
7803,formation,p=0.70,2,0.006328374147415161,1.5381383895874023,0.6499552130699158,0.3641290068626404
7803,formation,p=0.70,4,0.019002765417099,2.0017142295837402,0.726951003074646,0.5726180076599121
7803,formation,p=0.70,8,0.010806679725646973,2.5990688800811768,0.7020914554595947,0.7852399945259094
7803,formation,p=0.70,16,0.007765620946884155,3.1914944648742676,0.6011980175971985,1.0528992414474487
7803,formation,p=0.70,32,0.022262603044509888,3.4181578159332275,0.5467060804367065,1.2946789264678955
7803,formation,p=0.70,64,0.013448894023895264,3.6481287479400635,0.5162844061851501,1.4301657676696777
7803,persistence,unrelated_delay,0,0.005232691764831543,3.689819097518921,0.5479257106781006,1.3005366325378418
7803,persistence,unrelated_delay,10,0.006583213806152344,4.033622741699219,1.3499784469604492,1.1423404216766357
7803,persistence,unrelated_delay,50,0.0044661760330200195,5.841584205627441,1.3958184719085693,1.12901771068573
